,Team Name,Team Members,Team Competitions,Team Event,Team Contingent,Team Final Position
13,AB,"Austin Bauer, Emily Chan, Yunzhi Chen, Stephanie Cheung, Eyota Kwan, Kevin Lee, Kyleigh O'Donoghue, Imran Wadia, Desmond Wang, Takeisha Wang","Tie 02, Tie 19 (B2 v. A3), Team Competition Gold Medal Match, Tie 14, Tie 21 (W16 vs. W19)",Badminton Team Competition Mix,Alberta,Gold
14,AB,"Chad Berling, Haldan Borglum, Thomas Hulsman, Reid Lovstrom",Race,Biathlon 3 x 7.5 km Relay Male,Alberta,Silver
15,AB,"Zack Ostapchuk, Dylan Guenther, Kai Uchacz, Zack Stringer, Matt Savoie, Jayden Grubbe, Tyson Laventure, Craig Armstrong, Sean Tschigerl, Olen Zellweger, Matt Smith, Owen MacNeil, Loch Gordon, Corson Ceulemans, Drew Sim, Marc Lajoie, Keagan Slaney, Kyle Masters, Colton Dach, Brett Hyland","Game 06, Game 22, Game 36, Game 12, Game 30, Bronze Medal Game (L34 vs. L36)",Hockey Male,Alberta,Bronze
16,AB,"Kat Eamon, Ali Keylor, Shae Corasiniti, Kaley Bilyk, Torrie Shennan, Nicole Pelletier, Alyssa Hall, Kennedy Hickey, Megan Riou, Hannah Coyne, Ann Sauve, Jordyn Scott, Maddy Galeski, Jenna Wolsey, Lauren Millar, Marla Wheeler, Katie Zipp, Vail Ketsa","Game 03, Game 05, Game 18 (1st Pool B vs. W17), 7th - 8th Position Game (L24 vs. L25), Game 11, Game 17 (4th Pool A vs. 5th Pool B), Game 24 (L20 vs. L18)",Ringette Female,Alberta,7
17,AB,"Ivy Bao, Emily Liu, Judy Pan","Encounter 1B, Encounter 205, Bronze Medal, Encounter 3B, Encounter 212",Table Tennis Team Female,Alberta,4
18,AB,"Alex Boucher, Kalena Soehn","Routine 1, Final Routine, Routine 2",Gymnastics Trampoline - Synchro Female,Alberta,6
19,AB,"Nate Broughton, Toby Cairns, Addyson Cheladyn, Brendan Ng, Gabriele Romano, Elijah Thompson","Floor - A, P Bars - A, Rings - A, Floor - B, P Bars - B, Rings - B, H Bar - A, Pommel Horse - A, Vault - A, H Bar - B, Pommel Horse - B, Vault - B",Gymnastics Artistic - Team Event Male,Alberta,7
20,AB,"Bethany Churchill, Jana Dweek, Taylor Mackay, Nicole Temple","Encounter 004, Encounter 015, Encounter 028, Bronze Medal, Encounter 008, Encounter 022, Encounter 101",Squash Team Competition Female,Alberta,Bronze
21,AB,"Evelyn Beaton, Greta Goasdoue-Wallace, Michelle Grisales, Kondelia Karas, Teyana Roberts, Ema Tesanovic, Kiera Westlake","Match 02, Gold Medal Match, Match 05",Judo Team Competition Female,Alberta,Gold
22,AB,"Cole Beres, Kaitlyn Wiley","Total of Round 1 and Round 2, Round 2, Round 1, Elimination 003",Archery Compound - Team Mix,Alberta,6
23,AB,"Zachary Blakely, Nolan Zurek","Routine 1, Final Routine, Routine 2",Gymnastics Trampoline - Synchro Male,Alberta,4
24,AB,"Morgan Bilassy, Ben Helston, Nathan Molberg, Nicholas Warkman","Draw 1 - Sheet 07, Draw 4 - Sheet 09, Draw 7 - Sheet 03, Draw 9 - Sheet 10, Draw 11 - Sheet 02, Quarterfinals (4th vs. 5th) - Sheet 10, Draw 3 - Sheet 11, Draw 5 - Sheet 05, Draw 8 - Sheet 04, Draw 10 - Sheet 08, Draw 12 - Sheet 06",Curling Male,Alberta,5
